name,KIDS_ID,RAJ2000,DECJ2000,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0
LRG_186.2334_0.8467.fits.png,KiDSDR4 J122456.016+005048.05,186.233401,0.846682,17.9561,0.00263611,0.43,0.39,0.45,10.0,0.0,1.0,1.0,0.0
LRG_168.2249_0.1791.fits.png,KiDSDR4 J111253.976+001044.65,168.224904,0.179072,18.2554,0.00246136,0.49,0.46,0.51,10.0,0.0,1.0,1.0,0.0
galaxy_353.89031_-32.4561.fits.png,KiDSDR4 J233533.673-322722.06,353.890307,-32.456128,19.5862,0.00814382,0.67,0.64,0.69,10.0,0.0,0.999,0.999,0.0
LRG_23.60709_-29.9479.fits.png,KiDSDR4 J013425.700-295652.42,23.607086,-29.947897,18.7333,0.00447935,0.59,0.55,0.61,9.4,1.2,1.0,0.94,0.0
LRG_129.88905_-1.6791.fits.png,KiDSDR4 J083933.372-014044.81,129.889052,-1.679115,17.1726,0.0026547,0.62,0.58,0.64,9.4,1.2,1.0,0.94,0.0
LRG_205.13364_-0.6272.fits.png,KiDSDR4 J134032.074-003737.83,205.133643,-0.627175,18.0478,0.00365921,0.4,0.36,0.42,9.4,1.2,1.0,0.94,0.0
galaxy_16.77049_-31.4781.fits.png,KiDSDR4 J010704.918-312841.03,16.770493,-31.478064,20.2486,0.0181535,0.86,0.83,0.88,9.4,1.2,1.0,0.94,0.0
LRG_40.62053_-29.7182.fits.png,KiDSDR4 J024228.926-294305.41,40.620528,-29.718171,19.4218,0.00689878,0.51,0.48,0.53,9.4,1.2,0.999,0.939,0.0
LRG_188.97575_0.9307.fits.png,KiDSDR4 J123554.179+005550.41,188.97575,0.93067,18.4908,0.00396536,0.43,0.39,0.45,8.8,1.47,1.0,0.88,0.0
galaxy_16.52597_-31.0772.fits.png,KiDSDR4 J010606.232-310437.84,16.525969,-31.07718,17.9758,0.00667265,0.7,0.67,0.73,8.8,1.47,0.999,0.879,0.0
LRG_359.36813_-35.337.fits.png,KiDSDR4 J235728.351-352013.03,359.368133,-35.336955,17.2675,0.00653218,0.7,0.67,0.72,8.8,1.47,0.999,0.879,0.0
galaxy_160.59733_0.2559.fits.png,KiDSDR4 J104223.359+001521.24,160.59733,0.2559,20.0009,0.0199025,0.75,0.72,0.78,8.8,1.47,0.998,0.878,0.0
galaxy_348.17626_-33.3885.fits.png,KiDSDR4 J231242.301-332318.44,348.176257,-33.388457,19.8282,0.00975746,0.69,0.65,0.71,8.8,1.47,0.992,0.873,0.0
LRG_33.76672_-28.7135.fits.png,KiDSDR4 J021504.013-284248.57,33.766723,-28.713492,18.5877,0.003442,0.45,0.42,0.47,8.2,1.47,1.0,0.82,0.0
galaxy_136.28057_-0.175.fits.png,KiDSDR4 J090507.336-001029.85,136.28057,-0.17496,19.5882,0.00988238,0.71,0.67,0.73,8.2,1.47,1.0,0.82,0.0
galaxy_43.39242_-28.77.fits.png,KiDSDR4 J025334.181-284611.92,43.392423,-28.769978,19.818,0.0135361,0.64,0.6,0.66,8.2,1.47,0.998,0.818,0.0
galaxy_7.96309_-31.4441.fits.png,KiDSDR4 J003151.142-312638.83,7.963094,-31.44412,19.7441,0.0101775,0.65,0.61,0.67,8.2,1.47,0.997,0.818,0.0
galaxy_13.9184_-29.0118.fits.png,KiDSDR4 J005540.416-290042.46,13.918401,-29.011797,18.4132,0.00299341,0.25,0.22,0.27,8.2,1.47,0.982,0.805,0.0
galaxy_15.73953_-29.1894.fits.png,KiDSDR4 J010257.486-291121.76,15.739527,-29.189379,17.3922,0.00188818,0.39,0.36,0.41,7.6,1.2,1.0,0.76,0.0
galaxy_172.25017_-1.7039.fits.png,KiDSDR4 J112900.041-014214.01,172.250173,-1.703894,19.8947,0.0106474,0.69,0.65,0.71,7.6,1.2,0.996,0.757,0.0
LRG_354.0848_-35.4321.fits.png,KiDSDR4 J233620.351-352555.55,354.084799,-35.4321,19.5212,0.0114211,0.51,0.47,0.53,7.6,1.2,0.99,0.752,0.0
galaxy_350.47015_-27.9105.fits.png,KiDSDR4 J232152.835-275437.68,350.47015,-27.910469,19.6479,0.00778731,0.69,0.66,0.71,7.6,1.2,0.986,0.749,0.0
galaxy_150.28495_2.6749.fits.png,KiDSDR4 J100108.387+024029.67,150.284948,2.67491,19.5126,0.00531857,0.32,0.29,0.35,7.4,2.577,1.0,0.74,0.0
galaxy_355.9107_-33.9448.fits.png,KiDSDR4 J234338.567-335641.44,355.910697,-33.944845,18.2447,0.00227094,0.32,0.29,0.34,7.4,2.577,1.0,0.74,0.0
galaxy_194.64542_-0.7114.fits.png,KiDSDR4 J125834.900-004241.11,194.645418,-0.711421,16.7797,0.00179149,0.27,0.24,0.29,7.4,2.577,1.0,0.74,0.0
galaxy_26.32828_-29.0944.fits.png,KiDSDR4 J014518.788-290539.92,26.328284,-29.094423,19.2876,0.0069364,0.51,0.48,0.54,7.0,0.0,1.0,0.7,0.0
galaxy_170.46699_2.6198.fits.png,KiDSDR4 J112152.078+023711.11,170.466993,2.619754,19.8979,0.00986868,0.55,0.51,0.57,7.0,0.0,0.999,0.699,0.0
galaxy_2.08489_-34.4553.fits.png,KiDSDR4 J000820.374-342718.99,2.084894,-34.455275,19.1614,0.00463689,0.42,0.39,0.44,7.0,0.0,0.99,0.693,0.0
galaxy_340.74564_-35.2064.fits.png,KiDSDR4 J224258.953-351223.13,340.74564,-35.206425,17.9238,0.00217884,0.66,0.63,0.68,6.8,2.227,0.999,0.679,0.0
