,name,KIDS_ID,RA,DEC,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0,GAMA_ID
0,LRG_129.88905_-1.6791.fits.png,KiDSDR4 J083933.372-014044.81,129.889052,-1.6791150000000001,17.1726,0.0026547,0.62,0.58,0.64,9.4,1.2,1.0,0.94,0.0,3853225
1,galaxy_136.28057_-0.175.fits.png,KiDSDR4 J090507.336-001029.85,136.28056999999998,-0.17496,19.5882,0.00988238,0.71,0.67,0.73,8.2,1.47,1.0,0.82,0.0,915066
2,LRG_137.80622_-0.1206.fits.png,KiDSDR4 J091113.492-000714.23,137.80622,-0.12062,17.8836,0.00340157,0.37,0.34,0.4,5.4,1.96,0.9990000000000001,0.539,0.0,574940
3,LRG_129.73721_2.1475.fits.png,KiDSDR4 J083856.929+020851.17,129.73720600000001,2.14755,18.7011,0.00451473,0.43,0.39,0.45,4.6,1.96,0.972,0.447,0.0,417345
4,LRG_131.8457_0.8238.fits.png,KiDSDR4 J084722.967+004925.69,131.845697,0.8238040000000001,18.4457,0.00244875,0.48,0.45,0.5,4.0,2.6830000000000003,0.87,0.348,1.0,278496
5,galaxy_132.88395_2.1722.fits.png,KiDSDR4 J085132.148+021019.89,132.883951,2.172192,19.5359,0.00516456,0.43,0.4,0.45,3.4,3.137,0.9890000000000001,0.336,2.0,0
6,LRG_137.26621_-0.6889.fits.png,KiDSDR4 J090903.889-004120.18,137.266207,-0.6889390000000001,18.5282,0.0042231000000000005,0.44,0.41,0.46,2.6,2.577,0.991,0.258,2.0,0
7,LRG_131.14293_2.4684.fits.png,KiDSDR4 J084434.304+022806.23,131.142934,2.4684,18.8483,0.00422282,0.4,0.37,0.43,3.2,3.655,0.765,0.245,2.0,517175
8,galaxy_140.96884_-1.1658.fits.png,KiDSDR4 J092352.520-010956.88,140.968836,-1.165801,19.4921,0.00683305,0.56,0.53,0.58,2.0,2.7569999999999997,0.992,0.198,3.0,0
9,galaxy_139.4773_-0.3547.fits.png,KiDSDR4 J091754.551-002117.01,139.477298,-0.354725,19.1932,0.00576703,0.54,0.51,0.56,1.8,1.47,0.996,0.179,2.0,0
10,LRG_140.57001_-0.327.fits.png,KiDSDR4 J092216.803-001937.22,140.570014,-0.327006,18.7952,0.00558118,0.49,0.46,0.51,2.0,2.7569999999999997,0.76,0.152,3.0,205110
11,LRG_132.94988_2.9203.fits.png,KiDSDR4 J085147.971+025513.04,132.949883,2.92029,17.9115,0.00332499,0.42,0.39,0.44,1.4,2.8,0.84,0.11800000000000001,4.0,0
12,LRG_183.14553_0.1318.fits.png,KiDSDR4 J121234.927+000754.48,183.145531,0.1318,16.7311,0.00188037,0.25,0.22,0.27,5.4,3.4989999999999997,1.0,0.54,1.0,71118
13,LRG_183.33156_1.7933.fits.png,KiDSDR4 J121319.575+014736.02,183.331564,1.793341,17.6254,0.00236406,0.27,0.24,0.29,5.4,1.96,0.9940000000000001,0.537,0.0,0
14,galaxy_183.30933_-0.243.fits.png,KiDSDR4 J121314.238-001434.63,183.309326,-0.24295300000000003,18.5808,0.00328026,0.46,0.42,0.48,5.4,1.96,0.982,0.53,0.0,55728
15,LRG_185.89642_-2.1752.fits.png,KiDSDR4 J122335.140-021030.63,185.89641799999998,-2.175176,18.3244,0.00663445,0.49,0.46,0.51,5.4,1.96,0.98,0.529,0.0,0
16,galaxy_177.06416_-1.1526.fits.png,KiDSDR4 J114815.397-010909.34,177.06415800000002,-1.152595,20.3031,0.00865978,0.32,0.29,0.34,4.8,2.8569999999999998,0.996,0.478,1.0,0
17,galaxy_182.57383_-2.5036.fits.png,KiDSDR4 J121017.719-023013.12,182.573831,-2.503647,19.1443,0.00510212,0.47,0.43,0.49,4.8,2.8569999999999998,0.9890000000000001,0.475,1.0,125108
18,LRG_176.17205_0.5021.fits.png,KiDSDR4 J114441.292+003007.45,176.172051,0.502071,19.1674,0.00626357,0.43,0.39,0.45,4.6,3.4989999999999997,0.978,0.45,1.0,84149
19,galaxy_175.30418_0.2697.fits.png,KiDSDR4 J114113.002+001610.81,175.304178,0.26966999999999997,18.8349,0.00533503,0.6,0.55,0.62,4.0,2.6830000000000003,1.0,0.4,1.0,609353
20,LRG_178.25068_-1.162.fits.png,KiDSDR4 J115300.162-010943.30,178.250678,-1.162029,18.6057,0.00396283,0.48,0.45,0.5,4.0,2.6830000000000003,0.833,0.33299999999999996,1.0,31088
21,LRG_177.03551_-2.5655.fits.png,KiDSDR4 J114808.522-023355.69,177.035511,-2.56547,18.3744,0.00374105,0.43,0.4,0.45,3.4,3.137,0.912,0.31,2.0,0
22,galaxy_178.56122_-0.7891.fits.png,KiDSDR4 J115414.693-004720.92,178.561221,-0.789145,19.0313,0.00580331,0.44,0.41,0.59,2.6,2.577,1.0,0.26,2.0,39881
23,galaxy_182.06345_-1.5255.fits.png,KiDSDR4 J120815.228-013131.89,182.063452,-1.525527,19.304000000000002,0.00475533,0.42,0.39,0.45,2.6,2.577,0.997,0.259,2.0,0
24,LRG_184.5179_1.8386.fits.png,KiDSDR4 J121804.295+015019.11,184.517897,1.838643,17.1195,0.0027475999999999998,0.31,0.28,0.33,2.6,2.577,0.892,0.23199999999999998,2.0,0
25,galaxy_181.70132_0.3493.fits.png,KiDSDR4 J120648.317+002057.37,181.701323,0.34926999999999997,18.6827,0.00399907,0.45,0.42,0.48,2.0,2.7569999999999997,0.9990000000000001,0.2,3.0,610781
26,galaxy_176.51342_1.9211.fits.png,KiDSDR4 J114603.221+015515.85,176.513424,1.921071,19.4872,0.00571044,0.3,0.27,0.33,1.2,1.47,0.992,0.11900000000000001,3.0,0
27,galaxy_182.60462_-2.1557.fits.png,KiDSDR4 J121025.108-020920.52,182.60461899999999,-2.1557020000000002,18.2683,0.00297125,0.35,0.32,0.37,1.2,1.47,0.995,0.11900000000000001,3.0,131807
28,LRG_183.09899_-1.551.fits.png,KiDSDR4 J121223.757-013303.65,183.09899099999998,-1.551014,19.8398,0.00613844,0.49,0.46,0.51,1.4,2.8,0.833,0.11699999999999999,4.0,186111
29,galaxy_176.69445_-2.4927.fits.png,KiDSDR4 J114646.668-022933.88,176.69445100000002,-2.492746,19.1788,0.00644378,0.6,0.57,0.62,0.6,1.2,0.9840000000000001,0.059000000000000004,4.0,0
30,galaxy_222.46067_0.9261.fits.png,KiDSDR4 J144950.559+005534.07,222.46066499999998,0.926133,19.3929,0.012146700000000002,0.76,0.73,0.78,6.6,3.137,0.995,0.657,0.0,0
31,LRG_223.35741_-0.5588.fits.png,KiDSDR4 J145325.778-003331.75,223.35741099999998,-0.558822,19.2185,0.010251600000000001,0.59,0.55,0.61,6.2,1.6,0.956,0.593,0.0,570355
32,LRG_214.80776_2.9432.fits.png,KiDSDR4 J141913.862+025635.41,214.80776200000003,2.9431700000000003,18.8583,0.00511427,0.42,0.39,0.44,6.2,1.6,0.91,0.564,0.0,265719
33,galaxy_219.72969_-0.5973.fits.png,KiDSDR4 J143855.125-003550.15,219.72968999999998,-0.597266,18.2356,0.0034341999999999997,0.39,0.36,0.41,4.6,1.96,0.998,0.45899999999999996,0.0,569641
34,galaxy_214.20758_1.6395.fits.png,KiDSDR4 J141649.819+013822.23,214.207581,1.6395099999999998,19.209,0.00586216,0.58,0.54,0.6,4.0,2.6830000000000003,0.9990000000000001,0.4,1.0,238425
35,galaxy_217.6782_0.7445.fits.png,KiDSDR4 J143042.767+004440.22,217.678198,0.744506,18.9703,0.00523834,0.41,0.37,0.44,4.0,2.6830000000000003,0.998,0.39899999999999997,1.0,16104
36,LRG_219.72264_0.5025.fits.png,KiDSDR4 J143853.432+003009.14,219.722636,0.5025390000000001,18.3223,0.00328325,0.39,0.34,0.41,3.4,3.137,0.995,0.33799999999999997,2.0,93270
37,LRG_215.88388_-0.521.fits.png,KiDSDR4 J142332.130-003115.73,215.883879,-0.521038,19.3595,0.00970765,0.49,0.46,0.51,4.0,3.95,0.8079999999999999,0.32299999999999995,2.0,568653
38,LRG_216.83723_0.7411.fits.png,KiDSDR4 J142720.935+004428.06,216.83723199999997,0.741129,18.2456,0.00335741,0.45,0.42,0.47,2.8,3.429,0.9990000000000001,0.28,3.0,0
39,galaxy_212.5992_1.6108.fits.png,KiDSDR4 J141023.808+013638.82,212.59920400000001,1.6107850000000001,18.5188,0.00276297,0.22,0.19,0.24,2.6,2.577,0.9840000000000001,0.256,2.0,237852
40,galaxy_218.32657_0.7956.fits.png,KiDSDR4 J143318.377+004744.04,218.326573,0.795567,19.4823,0.00752545,0.61,0.57,0.63,2.4,1.2,0.996,0.239,1.0,16353
41,galaxy_215.90358_1.4075.fits.png,KiDSDR4 J142336.859+012427.08,215.903581,1.4075229999999999,18.7758,0.00471392,0.63,0.59,0.65,2.0,2.7569999999999997,0.992,0.198,3.0,297460
42,LRG_215.07426_0.9755.fits.png,KiDSDR4 J142017.823+005831.90,215.074263,0.9755290000000001,18.0723,0.00336618,0.45,0.42,0.47,2.0,2.7569999999999997,0.965,0.193,3.0,0
43,LRG_216.3946_2.5116.fits.png,KiDSDR4 J142534.703+023041.84,216.394596,2.511625,18.4645,0.00436091,0.37,0.34,0.39,1.8,1.47,0.904,0.163,2.0,261815
44,galaxy_215.70142_1.33.fits.png,KiDSDR4 J142248.341+011947.89,215.701423,1.329972,19.2113,0.00582994,0.43,0.39,0.45,1.2,1.47,0.9940000000000001,0.11900000000000001,3.0,297426
45,LRG_214.50005_2.6637.fits.png,KiDSDR4 J141800.011+023949.18,214.500046,2.663662,18.9243,0.00511382,0.47,0.44,0.49,1.2,1.47,0.774,0.09300000000000001,3.0,362314
