# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_43.7_-30.2,43.706,-30.17,g,2014-12-21 03:51:18,1.1,0.03,25.28,24.04,17148850000000,B
KIDS_52.3_-33.1,52.277,-33.137,r,2012-11-18 05:56:55,0.71,0.05,25,23.99,29011130000000,C
KIDS_332.0_-31.2,332.039,-31.159,u,2014-10-24 01:08:59,1.05,0.04,24.1,22.95,3208289000000,B
KIDS_45.1_-33.1,45.149,-33.137,u,2012-11-08 05:28:19,0.99,0.03,24.21,23.05,3413183000000,B
KIDS_218.0_-0.5,218,-0.5,g,2015-04-14 06:55:15,1.01,0.06,24.87,23.73,15996880000000,A
KIDS_344.9_-31.2,344.854,-31.159,i,2011-11-10 03:04:29,1.05,0.04,23.41,22.17,13410070000000,B
KIDS_217.0_1.5,217,1.489,g,2015-05-13 05:35:02,0.69,0.05,24.99,23.98,15612990000000,A
KIDS_218.0_-0.5,218,-0.5,i,2013-03-24 06:11:03,0.62,0.06,23.84,23.01,13488510000000,B
KIDS_180.5_-2.5,180.501,-2.478,g,2014-04-19 00:44:59,0.9,0.04,25.11,24,17054740000000,B
KIDS_173.0_-0.5,173,-0.5,r,2013-04-09 04:18:26,0.61,0.05,24.89,23.97,31686800000000,A
KIDS_218.0_-0.5,218,-0.5,r,2014-04-28 04:09:15,0.58,0.06,24.9,24.1,31336310000000,B
KIDS_211.6_-2.5,211.588,-2.478,u,2015-02-25 08:44:36,0.92,0.05,24.09,22.97,3074777000000,B
KIDS_221.0_-0.5,221,-0.5,g,2015-05-14 05:53:50,0.7,0.06,25.08,24.04,16209870000000,B
KIDS_0.0_-33.1,0,-33.137,r,2014-09-26 01:45:17,0.63,0.04,24.94,24.02,27735710000000,A
