GAMA_ID,RA,DEC,R_PETRO,halpha_source,hst_short_filter
600305,134.75916,0.23814,17.871542,10726.676895737648,WFC3 IR 105W or 110W
419067,138.61973999999998,2.63477,17.614162,11573.82734656334,WFC3 IR 105W or 110W
387244,135.56917,2.36495,17.905178,11236.286667823792,WFC3 IR 105W or 110W
3611088,135.38005,-1.29831,18.307632,11624.952166318893,WFC3 IR 105W or 110W
373093,139.30637,1.19776,18.967205,12057.099497675896,WFC3 IR 110W
585328,182.36838,-0.00889,17.752956,11737.719566464424,WFC3 IR 105W or 110W
561058,182.5603,-0.4954,18.85086,12176.13077557087,WFC3 IR 110W
84425,177.77478,0.42791,18.513157,10982.645185112953,WFC3 IR 105W or 110W
165293,180.6015,-2.74642,18.478994,12275.932359457016,WFC3 IR 110W
559216,176.11624,-0.61902,18.452131,11244.88165462017,WFC3 IR 105W or 110W
272448,179.41953,1.42309,18.668146,12394.345267653465,WFC3 IR 110W
544226,214.42336,-0.8924700000000001,18.343842000000002,10826.143284916878,WFC3 IR 105W or 110W
62734,213.56206,-0.24168,18.316183,10482.442767858505,WFC3 IR 105W or 110W
513159,221.91681,-0.99942,19.047604,11164.88276386261,WFC3 IR 105W or 110W
593219,215.79222,-0.09455,19.079947,12205.470286130905,WFC3 IR 110W
617569,212.16078,0.2401,18.633877,11337.96761059761,WFC3 IR 105W or 110W
342310,215.08101,2.1713400000000003,18.97834,11106.455236554146,WFC3 IR 105W or 110W
250289,214.36708,1.99311,18.974998,11284.117427110672,WFC3 IR 105W or 110W
323152,130.54643000000002,1.64325,18.57621,11297.072682976723,WFC3 IR 105W or 110W
3575500,129.23265,-1.57512,18.352379,8958.406892359257,WFC3 UVIS 814W
345595,130.02208000000002,1.90541,18.29811,8923.632690489292,WFC3 UVIS 814W
145203,183.3706,-1.38407,18.97801,8785.779662668705,WFC3 UVIS 814W
611334,184.42766,0.33915,18.409648999999998,8582.013353168964,WFC3 UVIS 814W
184530,176.70961,-1.43842,18.554363000000002,9125.460776686668,WFC3 UVIS 814W
262836,221.40536,2.31397,19.037022,9307.31074988842,WFC3 UVIS 814W
318892,212.77747,1.9696,19.272856,9438.264320731163,WFC3 UVIS 814W
3886216,136.0962,-1.58451,18.832826999999998,12375.364720702171,WFC3 IR 110W
138582,183.14009,-1.827,18.391932,9401.037369728088,WFC3 UVIS 814W
238892,215.56828,1.56082,19.014167999999998,11262.30161011219,WFC3 IR 105W or 110W
251874,220.77951,1.9728900000000005,19.27091,11800.005157470703,WFC3 IR 105W or 110W
592910,214.63086,-0.01464,18.233583,10901.89220404625,WFC3 IR 105W or 110W
3629152,135.88863999999998,-0.97487,18.996344,11727.066867470741,WFC3 IR 105W or 110W
3891172,139.22725,-1.54519,18.95324,10558.59611093998,WFC3 IR 105W or 110W
3896212,129.80597,-0.8302200000000001,18.963739999999998,12123.646011829376,WFC3 IR 110W
262874,221.61067000000003,2.2238900000000004,19.19102,12198.259101986885,WFC3 IR 110W
296451,211.85399,1.55536,18.686167,12327.865635991096,WFC3 IR 110W
77312,212.84528,0.02337,18.975952,11843.865208864212,WFC3 IR 105W or 110W
78854,218.86758,0.05829,19.668423,10899.369834542274,WFC3 IR 105W or 110W
508050,215.57336,-1.7087900000000005,19.395672,9295.327832460403,WFC3 UVIS 814W
16104,217.678198,0.744506,18.9471,12132.769018292427,WFC3 IR 110W
39881,178.561221,-0.789145,19.082224,9514.423921823502,WFC3 UVIS 814W
569641,219.72969,-0.597266,18.241184,11984.60396194458,WFC3 IR 110W
