,Unnamed: 0,Unnamed: 0.1,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
3,3,3,663364.0,2669.0,140.35284,-0.97414,28.0,0.3221307694911957,11.63154125213623,40.0,0.7571136951446533,3.403892517089844,47.0,3.1694552898406982,3.1694552898406982,1.0739676952362058,1.0,41.38912582397461,PG + ELG
8,8,7,3883690.0,2756.0,134.57492,-1.55142,22.0,0.24808938801288605,9.996488571166992,40.0,0.6570139527320862,3.7962608337402335,47.0,3.792003154754639,3.792003154754639,1.0011228322982788,0.9999966025352478,40.971492767333984,PG + ELG
10,10,9,3911769.0,1704.0,138.66089,-1.11639,20.0,0.2793223559856415,10.793142318725586,40.0,0.6818790435791016,3.501178741455078,45.0,3.243104219436645,3.243104219436645,1.0795763731002808,0.9999999403953552,42.618690490722656,PG + ELG
18,18,16,345824.0,2914.0,131.13,2.0881,16.0,0.2755720615386963,12.957425117492676,40.0,0.7934569120407104,2.8951783180236816,47.0,2.775531053543091,2.775531053543091,1.0431078672409058,1.0,36.9887809753418,PG + ELG
21,21,21,3866174.0,1406.0,136.72111999999998,-1.9572599999999998,16.0,0.33926430344581604,8.702389717102049,42.0,0.4156415164470673,5.177086353302002,47.0,5.095656394958496,5.095656394958496,1.015980243682861,0.9949750900268556,56.35967636108398,PG + ELG
22,22,27,3581425.0,632.0,132.27286999999998,-1.55421,12.0,0.3329375386238098,11.478761672973633,40.0,0.63414067029953,2.981564283370972,43.0,2.930006742477417,2.930006742477417,1.0175963640213013,1.0,40.75920104980469,PG + ELG
25,25,30,600305.0,245.0,134.75916,0.23814000000000002,12.0,0.24335892498493195,10.951899528503418,40.0,0.6346657872200012,3.5537748336791988,45.0,2.63576889038086,2.63576889038086,1.3482877016067505,1.0,40.55467224121094,PG + ELG
29,29,39,347923.0,3477.0,139.59097,2.2376,8.0,0.28475603461265564,9.585489273071287,40.0,0.8462138175964355,3.1266109943389893,43.0,2.976945638656616,2.976945638656616,1.0502748489379885,0.9999998807907104,47.16796112060547,PG + ELG
30,30,42,209026.0,2577.0,131.487,0.09612000000000001,8.0,0.2557075917720795,12.244033813476562,40.0,0.6512852907180786,2.9503908157348637,46.0,2.5609967708587646,2.5609967708587646,1.152047872543335,1.0,37.98525619506836,PG + ELG
36,36,50,211045.0,2222.0,140.92513,0.009290000000000001,8.0,0.3168781697750092,8.064555168151855,40.0,0.5808127522468567,3.2693562507629395,44.0,2.964839458465576,2.964839458465576,1.102709412574768,0.999992609024048,53.115234375,PG + ELG
38,38,51,419067.0,1179.0,138.61973999999998,2.63477,8.0,0.1876792907714844,11.541552543640135,40.0,0.7637652158737183,4.00849199295044,43.0,2.8663170337677,2.8663170337677,1.3984817266464231,1.0,44.7299919128418,PG + ELG
41,41,54,549039.0,702.0,130.01102,-0.45857,8.0,0.2691822946071625,11.529870986938475,40.0,0.344963401556015,3.356703519821167,45.0,2.934046983718872,2.934046983718872,1.1440523862838743,1.0,39.61294174194336,PG + ELG
42,42,55,380872.0,3397.0,130.36703,1.8108400000000002,8.0,0.3814312815666199,9.075965881347656,40.0,0.6318844556808472,3.4751415252685547,43.0,3.4006359577178955,3.4006359577178955,1.0219093561172483,0.9999953508377076,53.84189224243164,PG + ELG
45,45,64,347735.0,3455.0,138.8727,2.31796,4.0,0.4533945024013519,9.047986030578613,40.0,0.6613774299621582,3.1971750259399414,47.0,2.908958911895752,2.908958911895752,1.0990787744522097,0.9999995827674866,49.28541564941406,PG + ELG
47,47,69,208601.0,1717.0,129.66942,0.05318,4.0,0.2680728733539581,12.035417556762695,40.0,0.8835583329200745,3.346439838409424,43.0,3.009690046310425,3.009690046310425,1.1118885278701782,1.0,38.44004821777344,PG + ELG
52,52,79,323200.0,3430.0,130.73718,1.55961,4.0,0.35043397545814514,8.342287063598633,40.0,0.4156284034252167,3.881047487258911,47.0,3.456882238388061,3.456882238388061,1.122701644897461,0.999929130077362,64.91991424560547,PG + ELG
54,54,80,3626517.0,445.0,133.9433,-0.8440799999999999,4.0,0.28387346863746643,12.493971824645994,40.0,0.7628644108772278,3.0350027084350586,43.0,2.891453504562378,2.891453504562378,1.049646019935608,1.0,39.7933235168457,PG + ELG
57,57,86,575209.0,178.0,138.84712,-0.004370000000000001,4.0,0.2611143887042999,11.652472496032715,40.0,0.7716090083122253,2.7540552616119385,46.0,2.655270576477051,2.655270576477051,1.0372031927108765,1.0,39.82018280029297,PG + ELG
58,58,89,209548.0,2605.0,133.88799,0.07105,4.0,0.1987818479537964,12.246796607971193,40.0,0.560442328453064,3.0711898803710938,44.0,2.8772783279418945,2.8772783279418945,1.067394137382507,1.0,39.88479614257813,PG + ELG
59,59,90,3587969.0,755.0,135.9112,-1.8344900000000002,4.0,0.2902862131595612,7.61622142791748,40.0,0.3676973879337311,3.2509188652038574,46.0,3.0047049522399902,3.0047049522399902,1.081942796707153,0.9999740719795228,50.82171630859375,PG + ELG
60,60,91,3911772.0,1578.0,138.6586,-1.30571,4.0,0.2824819982051849,11.69154167175293,40.0,0.801462709903717,2.693776607513428,45.0,2.6648683547973637,2.6648683547973637,1.0108479261398315,1.0,41.23528671264648,PG + ELG
69,69,102,302198.0,2287.0,136.76682,1.37017,4.0,0.27167513966560364,12.859949111938475,40.0,0.6721805930137634,2.8051016330718994,46.0,2.6163361072540283,2.6163361072540283,1.0721487998962402,1.0,36.73226547241211,PG + ELG
71,71,104,518046.0,1601.0,134.80893,2.70237,4.0,0.2309441417455673,11.551687240600586,40.0,0.7694068551063538,3.3788557052612305,43.0,2.9058525562286377,2.9058525562286377,1.162775993347168,1.0,40.06643295288086,PG + ELG
77,77,112,204881.0,2644.0,139.86987,-0.35594000000000003,4.0,0.3263564109802246,6.750406742095947,40.0,0.7612611651420593,3.128546714782715,43.0,3.070873260498047,3.070873260498047,1.0187808275222778,0.9997800588607788,53.10525512695313,PG + ELG
78,78,113,345595.0,3294.0,130.02208000000002,1.9054099999999998,4.0,0.35945487022399897,7.250385284423827,40.0,0.39231476187706,3.2381627559661865,47.0,3.166748046875,3.166748046875,1.022551417350769,0.9998730421066284,72.80669403076172,PG + ELG
81,81,115,387244.0,1819.0,135.56916999999999,2.36495,4.0,0.21772262454032895,12.368897438049315,40.0,0.7123265266418457,3.3477907180786133,47.0,2.7854623794555664,2.7854623794555664,1.2018797397613523,1.0,38.65888595581055,PG + ELG
83,83,117,642024.0,3084.0,140.5068,-1.2726600000000001,4.0,0.18448930978775024,12.385135650634766,40.0,0.7589848637580872,3.0829720497131348,43.0,2.6104533672332764,2.6104533672332764,1.1810102462768557,1.0,39.09468078613281,PG + ELG
84,84,118,375921.0,2906.0,131.2854,1.36765,4.0,0.29211437702178955,12.394143104553224,40.0,0.3698590397834778,3.1681222915649414,45.0,2.9136526584625244,2.9136526584625244,1.0873370170593262,1.0,42.417259216308594,PG + ELG
85,85,119,422178.0,2520.0,129.74776,2.48322,4.0,0.35866865515708923,11.332805633544922,40.0,0.7882426977157593,2.8496363162994385,43.0,2.8399448394775386,2.8399448394775386,1.0034126043319702,1.0,48.02913284301758,PG + ELG
88,88,123,386213.0,3008.0,130.6132,2.12032,4.0,0.09594716876745224,12.074329376220705,40.0,0.6268757581710815,3.0036308765411377,43.0,2.7082648277282715,2.7082648277282715,1.1090610027313232,1.0,37.397315979003906,PG + ELG
90,90,125,3585654.0,2560.0,134.66179,-1.65638,4.0,0.33208972215652466,9.492582321166992,40.0,0.8957464098930359,3.539791345596313,45.0,3.0569744110107417,3.0569744110107417,1.1579394340515137,0.999999463558197,47.5172348022461,PG + ELG
92,92,126,3611088.0,1743.0,135.38005,-1.29831,4.0,0.23190343379974365,9.052865982055664,40.0,0.7715562582015991,4.793195724487305,43.0,3.2919194698333736,3.2919194698333736,1.4560488462448118,0.9999277591705322,43.36043930053711,PG + ELG
93,93,127,214595.0,1608.0,130.76736,0.49778,4.0,0.28040823340415955,10.301304817199707,40.0,0.5677693486213684,3.4195978641510014,43.0,3.16351318359375,3.16351318359375,1.0809494256973269,0.9999998807907104,47.01552200317383,PG + ELG
