,Unnamed: 0,Unnamed: 0.1,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,theta_e,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
3,3,3,663364.0,2669.0,140.35284,-0.97414,28.0,268800000000.0,0.3221000134944916,1.463153157262249,0.3221307694911957,11.63154125213623,40.0,0.7571136951446533,3.403892517089844,47.0,3.1694552898406982,3.1694552898406982,1.0739676952362058,1.0,41.38912582397461,PG + ELG
8,8,7,3883690.0,2756.0,134.57492,-1.55142,22.0,136200003584.0,0.2480999976396561,1.1867130207908425,0.24808938801288605,9.996488571166992,40.0,0.6570139527320862,3.7962608337402335,47.0,3.792003154754639,3.792003154754639,1.0011228322982788,0.9999966025352478,40.971492767333984,PG + ELG
10,10,8,3911769.0,1704.0,138.66089,-1.11639,20.0,173999996928.0,0.2793999910354614,1.2639559960726945,0.2793223559856415,10.793142318725586,40.0,0.6818790435791016,3.501178741455078,45.0,3.243104219436645,3.243104219436645,1.0795763731002808,0.9999999403953552,42.618690490722656,PG + ELG
24,24,21,98583.0,2369.0,178.83655,0.8845700000000001,30.0,154500005888.0,0.28279998898506165,1.1838456539939233,0.2829500138759613,10.192718505859377,40.0,0.8288580179214478,3.756629943847656,45.0,3.7344188690185542,3.7344188690185542,1.0059477090835571,0.9999971985816956,49.17961502075195,PG + ELG
34,34,31,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487,1.2992580331104362,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953,PG + ELG
46,46,43,92918.0,2098.0,217.90807,0.4978,18.0,403299991552.0,0.4061999917030335,1.595933089984433,0.4060841202735901,10.200376510620117,40.0,0.7255886793136597,2.8738853931427,43.0,2.6985905170440674,2.6985905170440674,1.0649579763412476,1.0,45.01422119140625,PG + ELG
48,48,45,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,73400000512.0,0.2269999980926513,0.9107635323211736,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG
50,50,46,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505,1.100886361753243,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG
2,2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,827700019200.0,0.7215999960899353,1.7153737096024877,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.578601956367493,0.9894577264785768,29.41335868835449,PG + ELG
49,49,45,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,73400000512.0,0.2269999980926513,0.9107635323211736,0.6498517394065857,6.4098219871521,47.0,0.22703874111175534,6.293928146362305,40.0,3.8350911140441895,3.8350911140441895,1.6411417722702026,0.36642855405807495,39.20055389404297,PG + ELG
22,22,19,173045.0,534.0,185.64714,-2.42117,36.0,82070003712.0,0.2556000053882599,0.9075745841018292,0.25558531284332275,9.231234550476074,44.0,0.4946501553058624,3.5953791141510014,40.0,3.2675609588623047,3.2675609588623047,1.1003249883651731,0.9999960660934448,28.058637619018555,ELG + PG
6,6,5,3575500.0,1906.0,129.23265,-1.57512,26.0,320900005888.0,0.36520001292228704,1.5013778297363507,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.9997017383575441,57.59304809570313,ELG + PG
11,11,9,371400.0,2275.0,131.20438,1.00064,18.0,202099998720.0,0.2948000133037567,1.3261417079454088,0.2949441075325012,10.016762733459473,40.0,0.2797389030456543,2.978842735290528,47.0,2.7592921257019043,2.7592921257019043,1.0795676708221436,1.0,43.25559616088867,ELG + PG
13,13,11,279505.0,654.0,137.68558000000002,1.05648,18.0,129800003584.0,0.2263000011444092,1.2130134105229748,0.22626453638076785,12.158058166503904,40.0,0.017063029110431668,3.1191084384918213,45.0,3.082105875015259,3.082105875015259,1.0120055675506592,1.0,39.127723693847656,ELG + PG
14,14,12,386188.0,1677.0,130.0474,2.10251,18.0,241499996160.0,0.3598000109195709,1.3121953852749122,0.35983577370643616,10.896883010864258,40.0,0.2916497588157654,3.0063295364379883,47.0,2.9709987640380864,2.9709987640380864,1.0118918418884275,1.0,41.23919677734375,ELG + PG
26,26,23,231281.0,1822.0,183.06471,1.91352,28.0,376099995648.0,0.4004000127315521,1.5522981896427137,0.4005952477455139,11.908512115478516,40.0,0.11676301807165144,2.754232883453369,47.0,2.6877691745758057,2.6877691745758057,1.0247281789779663,1.0,41.1884880065918,ELG + PG
29,29,26,125077.0,2922.0,182.40587,-2.63013,26.0,146000003072.0,0.3416000008583069,1.0470996851624583,0.34157595038414,9.897278785705566,40.0,0.3385985493659973,3.1647155284881587,47.0,2.930869579315185,2.930869579315185,1.0797872543334959,1.0,41.853851318359375,ELG + PG
32,32,29,41064.0,2347.0,184.11784,-0.80592,22.0,157400006656.0,0.34860000014305115,1.0762401998214723,0.3486086428165436,10.824921607971193,40.0,0.2602448463439941,2.909571886062622,47.0,2.8047876358032227,2.8047876358032227,1.0373591184616089,1.0,39.27837371826172,ELG + PG
40,40,37,568366.0,2664.0,214.82709,-0.42031,28.0,113499996160.0,0.2651000022888184,1.0480055577217076,0.2650984525680542,7.562114715576173,40.0,0.013614499010145664,5.692988872528076,45.0,5.275354862213135,5.275354862213135,1.0791670083999634,0.8655875325202942,47.97547149658203,ELG + PG
0,0,0,3899011.0,2251.0,131.33397,-0.91563,64.0,329399992320.0,0.4027000069618225,1.4485767216729273,0.4027418196201325,8.433294296264647,40.0,0.3596013486385345,3.5196540355682373,42.0,3.1638996601104736,3.1638996601104736,1.1124417781829834,0.9999904036521912,54.17573547363281,ELG + ELG
4,4,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,212900003840.0,0.4059000015258789,1.1599755527031703,0.4066231548786163,4.3280086517333975,40.0,0.7871177792549133,3.691353082656861,40.0,3.0299975872039795,3.0299975872039795,1.2182693481445312,0.7928287386894226,87.77485656738281,ELG + ELG
5,5,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,212900003840.0,0.4059000015258789,1.1599755527031703,0.4058126211166382,4.959479808807373,40.0,0.7883777022361755,3.1229379177093506,42.0,3.0851132869720463,3.0851132869720463,1.0122603178024292,0.968270778656006,78.94024658203125,ELG + ELG
16,16,14,3882191.0,2558.0,133.69397,-1.36032,54.0,393299984384.0,0.3555999994277954,1.6844247608952052,0.3556151390075684,7.111570358276367,40.0,0.35056355595588684,4.771883964538574,40.0,4.37219762802124,4.37219762802124,1.0914154052734375,0.9758792519569396,70.52218627929688,ELG + ELG
17,17,14,3882191.0,2558.0,133.69397,-1.36032,54.0,393299984384.0,0.3555999994277954,1.6844247608952052,0.3555081784725189,5.474225044250488,41.0,0.3517100512981415,4.421235084533691,40.0,4.324756145477295,4.324756145477295,1.0223084688186646,0.7301874756813049,86.07929229736328,ELG + ELG
28,28,25,186586.0,1180.0,185.1191,-1.5125,26.0,180999995392.0,0.28189998865127563,1.2834007265491472,0.2819246053695679,10.517422676086426,40.0,0.5690225958824158,2.9667813777923584,42.0,2.764962673187256,2.764962673187256,1.0729914903640747,1.0,40.08103942871094,ELG + ELG
38,38,35,568617.0,105.0,215.70692000000003,-0.55323,36.0,316300001280.0,0.4526999890804291,1.338797469855164,0.4527124762535095,8.065027236938478,42.0,0.3702910840511322,3.3885200023651123,42.0,3.2085115909576416,3.2085115909576416,1.0561033487319946,0.9999816417694092,53.112831115722656,ELG + ELG
41,41,38,569270.0,1690.0,218.5273,-0.4848,26.0,173900005376.0,0.3384000062942505,1.148167222451273,0.33841872215271,8.432790756225586,40.0,0.6083976030349731,4.00839900970459,40.0,3.4708979129791264,3.4708979129791264,1.15485942363739,0.9999083876609802,59.23919296264648,ELG + ELG
15,15,13,3599660.0,635.0,129.29506,-0.99631,18.0,194599993344.0,0.3813999891281128,1.1440673732424689,0.3813742995262146,10.02219295501709,47.0,0.028298653662204742,6.865635395050049,47.0,6.421402454376222,6.421402454376222,1.0691800117492676,0.8111270070075989,40.316890716552734,PG + PG
25,25,22,583457.0,3357.0,174.8049,-0.00257,28.0,98730000384.0,0.2635999917984009,0.9802173859420884,0.26364102959632874,14.122949600219727,46.0,0.26728302240371704,3.7180147171020512,43.0,3.610600471496582,3.610600471496582,1.029749631881714,1.0,26.40053939819336,PG + PG
