,Unnamed: 0_x,GAMA_ID,ID,RA,DEC,score,Unnamed: 0_y,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type,type_number,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,zlens,zsource,sigma_lens,sigma_source,dlens,dsource,corrected_stellar_mass,P1,P3,normalized_score,cnn_probability,m_half_re,sigma_star,theta_e_pm,theta_e_sis
0,30,600305.0,245,134.75916,0.23814,12.0,44473.0,0.24335892498493195,10.951899528503418,40.0,0.6346657872200012,3.5537748336791988,45.0,2.63576889038086,2.63576889038086,1.3482877016067505,1.0,40.55467224121094,PG + ELG,1,11.614862,411967030000.0,0.14830036,0.24336,0.24335892498493195,0.6346657872200012,10.951899528503418,3.5537748336791988,755.0599481115347,1363.9464708767873,411967029248.0,0.8320000000000001,,0.17142857142857143,0.8320000000000001,363053600000.0,282.95433451900095,1.3208824870354787,1.0331082957432902
1,51,419067.0,1179,138.61973999999998,2.63477,8.0,62365.0,0.1876792907714844,11.541552543640135,40.0,0.7637652158737183,4.00849199295044,43.0,2.8663170337677,2.8663170337677,1.3984817266464231,1.0,44.7299919128418,PG + ELG,1,11.42196,264216460000.0,0.11376823,0.18776,0.1876792907714844,0.7637652158737183,11.541552543640135,4.00849199295044,617.2262113425436,1473.1809503284203,264216461312.0,0.9009999999999999,,0.11428571428571428,0.9009999999999999,208373510000.0,259.092142554678,1.262689098423622,1.127398110863074
2,115,387244.0,1819,135.56917,2.36495,4.0,52723.0,0.21772262454032895,12.368897438049315,40.0,0.7123265266418457,3.3477907180786133,47.0,2.7854623794555664,2.7854623794555664,1.2018797397613523,1.0,38.65888595581055,PG + ELG,1,11.4284935,268221450000.0,0.111712016,0.21772,0.21772262454032895,0.7123265266418457,12.368897438049315,3.3477907180786133,693.7250199806349,1433.4948799691867,268221448192.0,0.8759999999999999,,0.05714285714285714,0.8759999999999999,212329120000.0,250.8110546387172,1.1330820095290444,0.9383566741331468
3,126,3611088.0,1743,135.38005,-1.29831,4.0,61634.0,0.23190343379974365,9.052865982055664,40.0,0.7715562582015991,4.793195724487305,43.0,3.2919194698333736,3.2919194698333736,1.4560488462448118,0.9999277591705322,43.36043930053711,PG + ELG,1,11.32267,210218040000.0,0.10134957,0.2319,0.23190343379974365,0.7715562582015991,9.052865982055664,4.793195724487305,728.085536019757,1478.7877627463336,210218041344.0,0.895,,0.05714285714285714,0.895,156577800000.0,234.21260574578594,0.9420084716523339,0.8049270073964444
4,141,373093.0,2897,139.30637,1.19776,4.0,48311.0,0.3839914500713349,8.714599609375,40.0,0.8374122977256775,4.3738999366760245,43.0,3.5557072162628174,3.5557072162628174,1.2301068305969238,0.9998424649238586,54.19796371459961,PG + ELG,1,11.662157,459364100000.0,0.112764895,0.38411,0.3839914500713349,0.8374122977256775,8.714599609375,4.3738999366760245,1035.995243256812,1522.2696131805583,459364106240.0,0.909,,0.05714285714285714,0.909,415995850000.0,291.74682141853253,1.0210817679331767,0.7859160884546911
5,167,585328.0,3234,182.36838,-0.00889,18.0,88382.0,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953,PG + ELG,1,11.414567,259756830000.0,0.0822946,0.20466,0.20466271042823792,0.7887411713600159,11.430782318115234,3.3716747760772705,661.1026140880804,1490.7976199888435,259756834816.0,0.8370000000000001,,0.2571428571428571,0.8370000000000001,203986490000.0,248.56119169289002,1.1814521933837492,0.9938950820501131
6,201,561058.0,3349,182.5603,-0.4954,8.0,73125.0,0.3202874958515167,9.753260612487793,40.0,0.8555517792701721,3.6351492404937744,43.0,3.0174126625061035,3.0174126625061035,1.2047239542007446,0.999999701976776,48.4037971496582,PG + ELG,1,11.473941,297811080000.0,0.10634126,0.32019,0.3202874958515167,0.8555517792701721,9.753260612487793,3.6351492404937744,919.475109156616,1533.0893385187865,297811083264.0,,0.98,0.11428571428571428,0.98,242001890000.0,258.29582153409257,0.9253443278532227,0.7718569721032779
7,202,84425.0,2562,177.77478,0.42791,8.0,68103.0,0.28586745262146,12.25743293762207,40.0,0.6736734509468079,3.1225991249084477,43.0,2.550144672393799,2.550144672393799,1.2244791984558103,1.0,38.429664611816406,PG + ELG,1,11.48585,306090840000.0,0.11137759,0.28587,0.28586745262146,0.6736734509468079,12.25743293762207,3.1225991249084477,849.3615798050406,1400.4167518335323,306090835968.0,0.89,0.981,0.11428571428571428,0.981,250441090000.0,260.29387093479477,0.9711255459358762,0.770619122035845
8,203,165293.0,2144,180.6015,-2.74642,8.0,83542.0,0.2594617307186127,9.833870887756348,40.0,0.8707607984542847,3.698742389678955,43.0,2.9785277843475337,2.9785277843475337,1.241802215576172,0.999999701976776,45.05146789550781,PG + ELG,1,11.3088,203610300000.0,0.112862274,0.25946,0.2594617307186127,0.8707607984542847,9.833870887756348,3.698742389678955,791.8334519671724,1541.800356688003,203610292224.0,0.9940000000000001,0.99,0.11428571428571428,0.9940000000000001,150450040000.0,232.12008629401095,0.8667347654969458,0.757553859781164
9,226,559216.0,2507,176.11624,-0.61902,4.0,66583.0,0.2502009868621826,9.004105567932129,40.0,0.7136363387107849,3.6533803939819336,45.0,2.756442785263061,2.756442785263061,1.3253967761993408,0.9999992847442628,50.80804824829102,PG + ELG,1,11.328982,213295820000.0,0.08922778,0.2502,0.2502009868621826,0.7136363387107849,9.004105567932129,3.6533803939819336,770.8459556853941,1434.5651871120278,213295824896.0,,0.812,0.05714285714285714,0.812,159448580000.0,235.17114931329388,0.8819796932806535,0.739616019250852
10,244,272448.0,2541,179.41953,1.42309,4.0,70542.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,1.464757204055786,0.9999996423721312,41.047550201416016,PG + ELG,1,11.553217,357451330000.0,0.10896457,0.27163,0.2717644274234772,0.8888060450553894,11.36670207977295,4.819479465484619,819.0556940040425,1551.7230385762593,357451333632.0,,0.912,0.05714285714285714,0.912,304028160000.0,271.8904509408931,1.1935661656106333,1.008915161814452
11,316,544226.0,3212,214.42336,-0.8924700000000001,18.0,94759.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG,1,11.285226,192852750000.0,0.11088524,0.22704,0.22704437375068665,0.6498237252235413,9.393048286437988,7.239895820617676,716.4341659211938,1378.5027482374978,192852754432.0,0.988,,0.2571428571428571,0.988,140580470000.0,228.60644112931496,0.8752296543885133,0.725514973841344
12,348,62734.0,539,213.56206,-0.24168,8.0,92873.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.535885572433472,2.535885572433472,1.4813647270202637,1.0,40.7535400390625,PG + ELG,1,11.506654,321109950000.0,0.11141836,0.27417,0.27416789531707764,0.5974463224411011,11.88359546661377,3.756571292877197,824.2876657263043,1326.0213113706118,321109950464.0,0.812,,0.11428571428571428,0.812,265894820000.0,263.82120981148887,0.9960402759020194,0.7612306179225925
13,358,513159.0,2123,221.91681,-0.99942,4.0,101949.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,1.241552472114563,0.9999999403953552,40.63710021972656,PG + ELG,1,11.24318,175057320000.0,0.117320195,0.28945,0.28945088386535645,0.7014451026916504,9.708475112915039,3.312683582305908,856.9123588679264,1424.4773439052576,175057321984.0,,0.862,0.05714285714285714,0.862,124556970000.0,222.4711290025322,0.6861132948781913,0.5700086909582459
14,364,593219.0,457,215.79222,-0.09455,4.0,96804.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.3714710474014282,1.0,41.26661682128906,PG + ELG,1,11.6236515,420389160000.0,0.10918899,0.40107,0.4010081887245178,0.8600229024887085,11.679271697998047,3.8478670120239262,1064.4513822640058,1535.6838374365789,420389158912.0,,0.895,0.05714285714285714,0.895,372354900000.0,284.56800794081227,0.9340762214949082,0.7182566232302335
15,374,617569.0,1418,212.16078,0.2401,4.0,90610.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,1.3223259449005127,0.9999999403953552,49.87385177612305,PG + ELG,1,11.508179,322239460000.0,0.10731004,0.31382,0.31386977434158325,0.727821946144104,9.380717277526855,3.4270968437194824,906.8034108997523,1445.952039968083,322239463424.0,,0.9640000000000001,0.05714285714285714,0.9640000000000001,267064460000.0,264.08164823204703,0.9447758513277134,0.7516318457131471
16,394,342310.0,2163,215.08101,2.1713400000000003,4.0,130224.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,1.321237087249756,0.9999998807907104,47.35982131958008,PG + ELG,1,11.405825,254580230000.0,0.15161027,0.38003,0.3797509968280792,0.6925411820411682,9.367025375366213,3.493913173675537,1028.736699355924,1416.9291046471408,254580228096.0,0.903,,0.05714285714285714,0.903,198917750000.0,247.15917256707377,0.6561968028084258,0.48375613992218336
17,419,250289.0,2730,214.36708,1.99311,28.0,93879.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG,1,11.668818,466464370000.0,0.100728765,0.40089,0.4012139439582825,0.7196155786514282,8.795989036560059,4.5154995918273935,1064.788974686647,1439.410257048191,466464374784.0,0.9990000000000001,1.0,0.4,1.0,424048720000.0,293.0069981823413,0.9178675855193126,0.6458593497138776
