,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
4,25,25,30,600305.0,245.0,134.75916,0.23814,12.0,0.24335892498493195,10.951899528503418,40.0,0.6346657872200012,3.5537748336791988,45.0,2.63576889038086,2.63576889038086,1.3482877016067505,1.0,40.55467224121094,PG + ELG
9,38,38,51,419067.0,1179.0,138.61973999999998,2.63477,8.0,0.1876792907714844,11.541552543640135,40.0,0.7637652158737183,4.00849199295044,43.0,2.8663170337677,2.8663170337677,1.3984817266464231,1.0,44.7299919128418,PG + ELG
15,81,81,115,387244.0,1819.0,135.56917,2.36495,4.0,0.21772262454032892,12.368897438049315,40.0,0.7123265266418457,3.3477907180786133,47.0,2.7854623794555664,2.7854623794555664,1.2018797397613523,1.0,38.65888595581055,PG + ELG
16,92,92,126,3611088.0,1743.0,135.38005,-1.29831,4.0,0.23190343379974365,9.052865982055664,40.0,0.7715562582015991,4.793195724487305,43.0,3.2919194698333736,3.2919194698333736,1.4560488462448118,0.9999277591705322,43.36043930053711,PG + ELG
17,101,101,141,373093.0,2897.0,139.30637,1.19776,4.0,0.3839914500713349,8.714599609375,40.0,0.8374122977256775,4.3738999366760245,43.0,3.5557072162628174,3.5557072162628174,1.2301068305969238,0.9998424649238586,54.19796371459961,PG + ELG
18,123,123,167,585328.0,3234.0,182.36838,-0.00889,18.0,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953,PG + ELG
20,139,139,201,561058.0,3349.0,182.5603,-0.4954,8.0,0.3202874958515167,9.753260612487793,40.0,0.8555517792701721,3.6351492404937744,43.0,3.0174126625061035,3.0174126625061035,1.2047239542007446,0.9999997019767758,48.4037971496582,PG + ELG
21,140,140,202,84425.0,2562.0,177.77478,0.42791,8.0,0.28586745262146,12.25743293762207,40.0,0.6736734509468079,3.122599124908448,43.0,2.550144672393799,2.550144672393799,1.2244791984558103,1.0,38.429664611816406,PG + ELG
22,141,141,203,165293.0,2144.0,180.6015,-2.74642,8.0,0.2594617307186127,9.833870887756348,40.0,0.8707607984542847,3.698742389678955,43.0,2.9785277843475337,2.9785277843475337,1.241802215576172,0.9999997019767758,45.05146789550781,PG + ELG
24,156,156,226,559216.0,2507.0,176.11624,-0.61902,4.0,0.2502009868621826,9.004105567932129,40.0,0.7136363387107849,3.6533803939819336,45.0,2.756442785263061,2.756442785263061,1.3253967761993408,0.9999992847442628,50.80804824829102,PG + ELG
25,171,171,244,272448.0,2541.0,179.41953,1.42309,4.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,1.464757204055786,0.9999996423721312,41.047550201416016,PG + ELG
28,190,190,278,220682.0,1618.0,182.74348,1.59789,4.0,0.28891828656196594,9.838969230651855,40.0,0.3613660633563995,9.816245079040527,47.0,5.494938850402832,5.494938850402832,1.786415696144104,0.8645688891410828,45.034095764160156,PG + ELG
29,191,191,278,220682.0,1618.0,182.74348,1.59789,4.0,0.2888886034488678,9.714017868041992,40.0,0.36128461360931396,9.452859878540039,47.0,6.759976863861084,6.759976863861084,1.3983567953109741,0.7100459337234497,43.63288497924805,PG + ELG
33,223,223,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG
40,258,258,348,62734.0,539.0,213.56206,-0.24168,8.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.5358855724334717,2.5358855724334717,1.4813647270202637,1.0,40.7535400390625,PG + ELG
44,271,271,358,513159.0,2123.0,221.91681,-0.99942,4.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,1.241552472114563,0.9999999403953552,40.63710021972656,PG + ELG
45,277,277,364,593219.0,457.0,215.79222,-0.09455,4.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.3714710474014282,1.0,41.26661682128906,PG + ELG
48,289,289,374,617569.0,1418.0,212.16078,0.2401,4.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,1.3223259449005127,0.9999999403953552,49.87385177612305,PG + ELG
51,312,312,394,342310.0,2163.0,215.08101,2.1713400000000003,4.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,1.3212370872497559,0.9999998807907104,47.35982131958008,PG + ELG
57,346,346,419,250289.0,2730.0,214.36708,1.99311,28.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG
0,2,2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.5786019563674933,0.9894577264785768,29.41335868835449,PG + ELG
11,53,53,79,323200.0,3430.0,130.73718,1.55961,4.0,0.4157901704311371,9.722792625427246,47.0,0.3498050570487976,6.658331871032715,40.0,3.8422210216522217,3.8422210216522217,1.732938289642334,0.9986246824264526,30.939067840576172,PG + ELG
34,224,224,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,0.6498517394065857,6.4098219871521,47.0,0.2270387411117553,6.293928146362305,40.0,3.8350911140441895,3.8350911140441895,1.6411417722702026,0.36642855405807495,39.20055389404297,PG + ELG
35,228,228,320,594552.0,3012.0,220.49692,-0.01709,16.0,0.35993456840515137,10.176191329956056,47.0,0.3553548753261566,8.791006088256836,40.0,5.163684844970703,5.163684844970703,1.7024675607681274,0.9635315537452698,29.67083740234375,PG + ELG
46,281,281,368,342308.0,501.0,215.069,2.22428,4.0,0.390562891960144,9.589674949645996,45.0,0.3281242847442627,5.874611854553223,40.0,4.454682350158691,4.454682350158691,1.3187499046325684,0.9990730285644532,44.66462326049805,PG + ELG
54,328,328,407,362243.0,171.0,214.01758,2.62049,4.0,0.7845309376716614,4.188628673553467,43.0,0.3706425428390503,3.934722900390625,40.0,3.273205280303955,3.273205280303955,1.2021008729934692,0.10691878944635393,75.08401489257812,PG + ELG
2,6,6,5,3575500.0,1906.0,129.23265,-1.57512,26.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.999701738357544,57.59304809570313,ELG + PG
12,68,68,101,3897932.0,825.0,130.79007,-0.8879100000000001,4.0,0.2869845032691956,11.81979274749756,40.0,0.0046395729295909405,3.5277910232543945,47.0,2.676064968109131,2.676064968109131,1.3182755708694458,1.0,40.911808013916016,ELG + PG
14,80,80,113,345595.0,3294.0,130.02208000000002,1.90541,4.0,0.35989525914192205,7.3161258697509775,40.0,0.08408384025096892,3.7349147796630864,47.0,2.932336807250977,2.932336807250977,1.273699164390564,0.9998680949211121,71.43119812011719,ELG + PG
23,148,148,217,145203.0,1939.0,183.3706,-1.38407,8.0,0.338887482881546,7.433445453643799,40.0,0.06927647441625595,5.039492130279541,46.0,3.624403476715088,3.624403476715088,1.3904335498809814,0.9939882755279541,71.33643341064453,ELG + PG
26,179,179,256,611334.0,1517.0,184.42766,0.33915,4.0,0.3078350126743317,10.453988075256348,40.0,0.1533661186695099,4.026955604553224,46.0,3.237013816833496,3.237013816833496,1.2440340518951416,0.9999997615814208,44.19900512695313,ELG + PG
27,183,183,268,165939.0,3378.0,184.10762,-2.84039,4.0,0.3415533602237701,8.505561828613281,42.0,-3.2109198855323484e-06,4.150723457336427,47.0,3.377129316329956,3.377129316329956,1.2290685176849363,0.99995219707489,50.27128219604492,ELG + PG
31,209,209,302,184530.0,2250.0,176.70961,-1.43842,4.0,0.3906523585319519,10.292731285095217,40.0,0.15642881393432614,9.673656463623047,45.0,4.153193473815918,4.153193473815918,2.329209089279175,0.9605602025985718,47.6322135925293,ELG + PG
37,239,239,329,262874.0,26.0,221.61067000000003,2.2238900000000004,12.0,0.3855178654193878,9.339181900024414,40.0,0.1946283727884293,4.816656112670898,47.0,3.4027478694915767,3.4027478694915767,1.4155195951461792,0.999962329864502,45.55036544799805,ELG + PG
43,267,267,355,262836.0,1953.0,221.40536,2.31397,4.0,0.418364942073822,10.22627067565918,42.0,0.14427031576633453,3.8695743083953857,47.0,2.870907783508301,2.870907783508301,1.3478573560714722,0.9999998807907104,45.51397323608398,ELG + PG
